Year,Jun,Jul,Aug,Sep,Mean
1871,3917,4107,4008,2717,3687.25
1872,3447,4967,3551,4942,4226.75
1873,4221,3408,2816,1890,3083.75
1874,3780,5120,3286,3570,3939
1875,5597,4032,5344,1946,4229.75
1876,5164,3842,3627,2223,3714
1877,2937,4843,3135,4137,3763
1878,4527,4690,5795,4483,4873.75
1879,5088,4975,4238,3920,4555.25
1880,6465,4110,4206,2268,4262.25
1881,3966,2992,4003,4500,3865.25
1882,3857,2373,4126,2730,3271.5
1883,3417,3220,4106,2588,3332.75
1884,3582,2807,3386,1358,2783.25
1885,3876,4326,2408,4437,3761.75
1886,4401,5400,4286,4082,4542.25
1887,6349,2478,3157,2907,3722.75
1888,4632,3737,3030,2376,3443.75
1889,6112,4092,2921,4256,4345.25
1890,5617,4292,4012,2210,4032.75
1891,2840,3938,3062,2460,3075
1892,3498,4300,4628,2553,3744.75
1893,3896,5101,3642,2346,3746.25
1894,4500,2398,3473,3932,3575.75
1895,2641,6765,3618,2840,3966
1896,2335,3636,3001,2533,2876.25
1897,3691,3467,3557,5082,3949.25
1898,3955,3325,4421,2887,3647
1899,4953,3811,4182,3807,4188.25
1900,3880,4327,2006,1675,2972
1901,4563,3433,3896,3161,3763.25
1902,5250,4112,4597,4097,4514
1903,5699,3612,4778,2887,4244
1904,3417,4000,4292,2403,3528
1905,4317,3747,6132,2333,4132.25
1906,3753,4415,5229,3230,4156.75
1907,4518,4586,2530,3195,3707.25
1908,3487,4250,2835,3882,3613.5
1909,5552,2782,3850,1958,3535.5
1910,5322,5792,3248,2368,4182.5
1911,4425,4300,3407,3497,3907.25
1912,3547,5085,3980,2290,3725.5
1913,4397,3958,3022,2313,3422.5
1914,3343,3935,3902,2406,3396.5
1915,4833,6212,4415,2205,4416.25
1916,3745,3798,4262,2561,3591.5
1917,4957,4122,2930,2965,3743.5
1918,5752,6780,4795,3467,5198.5
1919,4190,3506,2068,3390,3288.5
1920,3862,2632,4172,3486,3538
1921,5195,4638,4010,2987,4207.5
1922,4291,3450,3936,2588,3566.25
1923,5555,3142,2506,3222,3606.25
1924,3770,5877,3685,3127,4114.75
1925,3018,3557,3232,2961,3192
1926,4912,4617,3011,1930,3617.5
1927,4067,4232,3790,4865,4238.5
1928,4060,3525,3797,3128,3627.5
1929,5379,3326,3531,2486,3680.5
1930,6197,2438,3796,2631,3765.5
1931,6214,5455,2591,2843,4275.75
1932,5018,3833,3601,2808,3815
1933,4207,3485,4937,2000,3657.25
1934,7760,4607,3041,2351,4439.75
1935,5745,3417,5001,3022,4296.25
1936,3635,4740,2931,2760,3516.5
1937,4040,3616,4547,2266,3617.25
1938,4407,4413,4273,3362,4113.75
1939,5197,3877,1966,3861,3725.25
1940,4046,3636,2970,3537,3547.25
1941,4947,3222,3243,2747,3539.75
1942,5340,3023,3382,4451,4049
1943,4240,3980,3538,3762,3880
1944,3857,3731,3365,3325,3569.5
1945,4922,4522,4175,2835,4113.5
1946,5157,4838,2551,2206,3688
1947,5484,5439,3347,3903,4543.25
1948,5327,4882,3978,2625,4203
1949,5093,3403,4058,3625,4044.75
1950,5885,3367,4383,2008,3910.75
1951,5854,6137,3385,1943,4329.75
1952,3806,5412,4238,3363,4204.75
1953,4283,4588,2931,4413,4053.75
1954,4518,4272,3762,2068,3655
1955,4857,5502,3292,2753,4101
1956,7285,3687,3903,1471,4086.5
1957,4471,3480,2921,2386,3314.5
1958,3395,2792,4163,2645,3248.75
1959,4157,2911,2346,2797,3052.75
1960,4087,5495,3620,4445,4411.75
1961,3518,3625,3087,2356,3146.5
1962,4786,2835,4108,1308,3259.25
1963,5534,4710,4032,2276,4138
1964,4427,5140,2842,3061,3867.5
1965,4875,3540,3445,3022,3720.5
1966,6567,4477,5075,2480,4649.75
1967,3497,3997,2180,3130,3201
1968,4812,4788,3706,2171,3869.25
1969,4910,3965,3977,1668,3630
1970,5249,5194,3558,2521,4130.5
1971,3592,3612,3217,2030,3112.75
1972,5122,3803,2298,2003,3306.5
1973,6110,3093,3103,3162,3867
1974,5202,7812,3823,2883,4930
1975,2410,4646,2737,2425,3054.5
1976,5475,5589,3030,1611,3926.25
1977,4450,4492,4180,1760,3720.5
1978,4250,3710,2466,2590,3254
1979,2835,5945,2451,5325,4139
1980,3500,3726,3211,2540,3244.25
1981,2526,5053,3526,2258,3340.75
1982,4185,3506,3445,2806,3485.5
1983,3112,5512,3442,3866,3983
1984,3471,4887,3071,3576,3751.25
1985,4586,4332,2732,2853,3625.75
1986,2568,3480,2910,2846,2951
1987,4442,5582,3280,4233,4384.25
1988,3598,5362,6672,3328,4740
1989,3972,6649,2877,3813,4327.75
1990,3676,3552,2441,3212,3220.25
1991,4403,3036,3401,3785,3656.25
1992,3450,3652,3169,2534,3201.25
1993,7011,6480,4883,3150,5381
1994,4405,3178,3139,2561,3320.75
1995,4892,4204,3570,3711,4094.25
1996,2411,3991,3095,2429,2981.5
1997,4949,3566,2595,3552,3665.5
1998,4842,5101,4556,1857,4089
1999,3364,4987,4104,2835,3822.5
2000,4174,3017,4369,4534,4023.5
2001,3195,3447,2339,2517,2874.5
2002,4188,4574,2881,2289,3483
2003,4096,3481,3101,2432,3277.5
2004,3078,5368,2402,2674,3380.5
2005,3623,3481,4317,1521,3235.5
2006,3975,2848,1952,1957,2683
2007,4198,4270,2773,3492,3683.25
2008,3938,3608,4226,2322,3523.5
2009,2333,2956,3792,1560,2660.25
2010,3651,2750,2841,2719,2990.25
2011,2883,3048,2808,1925,2666
